,0
0,124.70815
1,108.15587
2,194.18974
3,106.503784
4,123.57839
5,201.89441
6,400.11578
7,203.51875
8,40.240734
9,108.718025
10,137.60274
11,78.79187
12,406.6214
13,90.88435
14,51.511852
15,356.55627
16,176.66133
17,274.52423
18,157.0804
19,123.56023
20,755.9644
21,179.3626
22,300.23056
23,192.26556
24,252.91
25,67.7681
26,467.62488
27,125.96508
28,282.41293
29,137.9568
30,263.00177
31,313.3092
32,196.1885
33,132.8378
34,167.3144
35,19.02419
36,457.26965
37,227.86609
38,104.02012
39,159.54988
40,178.25748
41,385.1231
42,65.69473
43,29.05573
44,249.18332
45,157.62735
46,231.39943
47,204.82454
48,44.573513
49,196.17958
50,87.33127
51,54.61073
52,133.06136
53,159.61229
54,138.25677
55,595.9484
56,162.6273
57,362.96872
58,342.75134
59,192.12172
60,229.60832
61,274.04938
62,139.86884
63,140.83136
64,475.36966
65,48.277332
66,184.75041
67,96.690674
68,430.27814
69,387.1445
70,492.15857
71,207.8687
72,189.71666
73,250.85654
74,248.67067
75,365.6215
76,152.22813
77,85.03928
78,145.42313
79,179.18474
80,454.8282
81,349.67175
82,431.1424
83,332.6278
84,126.271164
85,77.83693
86,452.01337
87,226.85498
88,325.6491
89,98.407646
90,189.67928
91,90.85816
92,116.281044
93,276.2489
94,160.45995
95,331.82788
96,109.21431
97,98.77405
98,51.07508
99,603.39984
100,98.78387
101,122.231094
102,58.307503
103,252.18175
104,219.1853
105,513.7212
106,251.95021
107,375.38492
108,85.71869
109,361.13208
110,122.33255
111,148.88185
112,98.992386
113,135.31609
114,363.42877
115,312.61578
116,197.20532
117,123.990524
118,181.42717
119,252.76906
120,102.626945
121,105.219086
122,299.06735
123,344.06744
124,426.22778
125,47.265785
126,92.649704
127,73.64101
128,291.68823
129,151.63168
130,139.6609
131,394.52042
132,86.57543
133,380.99634
134,180.18623
135,81.34867
136,208.52983
137,499.2685
138,135.43169
139,32.504887
140,53.47995
141,384.22455
142,85.93879
143,430.9723
144,327.84906
145,232.01274
146,152.24011
147,218.01329
148,170.43678
149,463.63895
150,125.38282
151,234.50035
152,84.16664
153,142.15553
154,404.48517
155,307.85358
156,328.56262
157,277.304
158,58.343887
159,226.12714
160,174.9228
161,139.22328
162,241.74225
163,511.6621
164,410.93817
165,213.0536
166,74.948685
167,272.49667
168,178.80553
169,330.9884
170,355.72107
171,271.2586
172,47.592545
173,328.73056
174,163.42253
175,288.4547
176,398.2534
177,334.8352
178,167.04579
179,329.45148
180,574.96466
181,326.22394
182,128.5789
183,139.5224
184,550.46606
185,389.0459
186,230.37422
187,96.40696
188,161.12097
189,92.328255
190,373.11505
191,127.77253
192,323.70807
193,91.01655
194,186.4668
195,224.6082
196,84.54398
197,334.5292
198,116.92163
199,136.77266
200,411.17737
201,493.77954
202,136.51614
203,196.95383
204,380.95233
205,285.33383
206,353.48492
207,122.16252
208,137.26787
209,569.8399
210,41.339226
211,341.82913
212,128.0519
213,282.5879
214,390.36
215,269.1529
216,445.41315
217,41.82881
218,466.83636
219,290.22107
220,406.93353
221,310.52423
222,157.9681
223,239.2572
224,118.42428
225,593.98395
226,364.24014
227,140.0919
228,272.36044
229,103.91491
230,255.48418
231,412.0816
232,149.37422
233,315.5361
234,233.03557
235,358.74307
236,231.74767
237,70.5996
238,181.97258
239,222.71051
240,146.51633
241,129.8178
242,761.3637
243,347.1938
244,85.974266
245,46.60295
246,493.2646
247,370.95245
248,246.3013
249,294.8809
250,149.38087
251,459.80133
252,74.76413
253,64.07058
254,91.63749
255,177.5787
256,165.10579
257,389.72333
258,207.95517
259,139.51476
260,186.4527
261,377.42065
262,118.095375
263,89.84411
264,354.70267
265,409.6501
266,429.8104
267,78.924934
268,287.1502
269,301.19855
270,282.3833
271,336.9945
272,95.62379
273,166.78862
274,411.63416
